week_ending,spot_price,creation_volume_total,creation_by_activity,cumulative_surplus,annual_demand,penalty_rate,days_to_surrender,price_to_penalty_ratio,policy_events,data_quality
2019-01-04,22.0,69399,"{""commercial_lighting"": 38169, ""heer"": 10410, ""iheab"": 13880, ""piamv"": 6940}",4300000,4600000,28.56,86,0.7703,[],synthetic_monthly
2019-01-11,22.0,69901,"{""commercial_lighting"": 38446, ""heer"": 10485, ""iheab"": 13980, ""piamv"": 6990}",4300000,4600000,28.56,79,0.7703,[],synthetic_monthly
2019-01-18,22.02,70730,"{""commercial_lighting"": 38902, ""heer"": 10610, ""iheab"": 14146, ""piamv"": 7073}",4300000,4600000,28.56,72,0.771,[],synthetic_monthly
2019-01-25,22.05,71874,"{""commercial_lighting"": 39531, ""heer"": 10781, ""iheab"": 14375, ""piamv"": 7187}",4300000,4600000,28.56,65,0.7721,[],synthetic_monthly
2019-02-01,22.07,73316,"{""commercial_lighting"": 40324, ""heer"": 10997, ""iheab"": 14663, ""piamv"": 7332}",4300000,4600000,28.56,58,0.7728,[],synthetic_monthly
2019-02-08,22.09,75034,"{""commercial_lighting"": 41269, ""heer"": 11255, ""iheab"": 15007, ""piamv"": 7503}",4300000,4600000,28.56,51,0.7735,[],synthetic_monthly
2019-02-15,22.05,77005,"{""commercial_lighting"": 42353, ""heer"": 11551, ""iheab"": 15401, ""piamv"": 7700}",4300000,4600000,28.56,44,0.7721,[],synthetic_monthly
2019-02-22,21.98,79199,"{""commercial_lighting"": 43559, ""heer"": 11880, ""iheab"": 15840, ""piamv"": 7920}",4300000,4600000,28.56,37,0.7696,[],synthetic_monthly
2019-03-01,21.92,81583,"{""commercial_lighting"": 44871, ""heer"": 12237, ""iheab"": 16317, ""piamv"": 8158}",4300000,4600000,28.56,30,0.7675,[],synthetic_monthly
2019-03-08,21.85,84125,"{""commercial_lighting"": 46269, ""heer"": 12619, ""iheab"": 16825, ""piamv"": 8412}",4300000,4600000,28.56,23,0.7651,[],synthetic_monthly
2019-03-15,21.78,86785,"{""commercial_lighting"": 47732, ""heer"": 13018, ""iheab"": 17357, ""piamv"": 8678}",4300000,4600000,28.56,16,0.7626,[],synthetic_monthly
2019-03-22,21.71,89526,"{""commercial_lighting"": 49239, ""heer"": 13429, ""iheab"": 17905, ""piamv"": 8953}",4300000,4600000,28.56,9,0.7602,[],synthetic_monthly
2019-03-29,21.64,92308,"{""commercial_lighting"": 50769, ""heer"": 13846, ""iheab"": 18462, ""piamv"": 9231}",4300000,4600000,28.56,2,0.7577,[],synthetic_monthly
2019-04-05,21.57,95089,"{""commercial_lighting"": 52299, ""heer"": 14263, ""iheab"": 19018, ""piamv"": 9509}",4300000,4600000,28.56,361,0.7553,[],synthetic_monthly
